prompt,Response,Reviewer-2
,"More reliable Systems,enhanced throughput,more economic systems.",
,"Reliable, enhances throughput, large memory",
,"Large memory required 
Increases expenses
Enhanced throughput",
,"Fast execution through multitasking.
Execution of multiple processes at a time.
",
,"High throughput
Economic
Type of parallel processing
Less electricity usage
High reliability",
,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.

Type of parallel processing: Parallel processing means the execution of multiple processes (also known as threads) at the same time.

Less electricity usage: In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times. That means multiprocessor CPUs consume low electricity than a single processor.

High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic: As more work is completed by the CPU’s so these systems are economically good as well.",
,"Enhanced throughput
More reliable system
More expense
",
,"CPU time used efficiently, processes executed simultaneously waiting time of ans Process is reduced. ",
,nothing,
,"The advantages of the multiprocessing system are:

Increased Throughput − By increasing the number of processors, more work can be completed in a unit time.
Cost Saving − Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems. Also, if a number of programs are to operate on the same data, it is cheaper to store that data on one single disk and shared by all processors instead of using many copies of the same data.
Increased Reliability − In this system, as the workload is distributed among several processors which results in increased reliability. If one processor fails then its failure may slightly slow down the speed of the system but system will work smoothly.",
,nothing,
,"1. It is faster than single processor.
2. Multiple tasks are performed at a time.
3. It divides a task into multiple tasks. So it takes less time to execute.",
,nothing,
,"High Throughput,
Type of parallel processing,
Less electricity usage,
High Reliability,
Economic.",
,"1.Efficient than single processor systems
2. Tha tasks can be completed with out any waiting. 
3. Ideal time for the cpu is very less. The cpu is busy in allocating processes. ",
,high speed,
,"More reliable Systems ,Enhanced Throughput, More Economic Systems, Increased Expense ,Complicated Operating System Required, Large Main Memory Required",
,high speed,
,"High Throughput,
Less electricity usage,
High Reliability,
Economic",
,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required.",
,nothing,
,"Reliable,High Throughput,high speed.",
,"Enhanced throughput, more economic systems, increased expenses",
,"Multitasking, high rate of data communication ,reliability , flexible timing,speed and accuracy.",
,nothing,
,"More reliable system.In a multiprocessor system,even if one processor fails,the system will not halt.
Enhance throughout.
Increase expense.
More economic system.",
,"High Throughput,Type of parallel processing,Less electricity usage,High Reliability",
,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...
Complicated Operating System Required. ...
Large Main Memory Required",
,"High Throughput,
Less electricity usage,
High Reliability,
Economic",
,"High Throughput,
Less electricity usage,
High Reliability,
Economic",
,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
Enhanced Throughput. ...
More Economic Systems. ...
Increased Expense. ...",
,"The advantages of the multiprocessing system are: Increased Throughput − By increasing the number of processors, more work can be completed in a unit time. Cost Saving − Parallel system shares the memory, buses, peripherals etc. Multiprocessor system thus saves money as compared to multiple single systems.",
," Multiprocessor System : System with lots of  CPUs is called Multiprocessor System. 

Advantage : 
1) Many processes can be run simultaneously 
2) Throw put can be improved (number of jobs finished per unit time) 
3) Reliability can be improved : If one CPU fails other CPUs will keep working ",
,"More reliable Systems
More Economic Systems
Enhanced Throughput",
,"1.By use of multiprocessor system, if one processor fails the system will not stop.
2.Multiprocessor system increases the throughput of the system. 
3 Multiprocessor systems are cheaper than single processor system. ",
,"Multiprocessor System : System with lots of  CPUs is called Multiprocessor System. 

Advantage : 
1) Many processes can be run simultaneously 
2) Throw put can be improved (number of jobs finished per unit time) 
3) Reliability can be improved : If one CPU fails other CPUs will keep working",
,"Some advantages are
1.even if one processor fails processing won't stop
2.complicated operating system required etc",
,"High Throughput,
Less electricity usage,
High Reliability,
Economic",
,"High Throughput: Throughput is the number of processes executed by the CPU at a given time so this type of system has higher throughput.
Type of parallel processing: Parallel processing means the execution of multiple processes at the same time.
High Reliability: As multiple processors share their work between one and another so work is completed with collaboration. That means these systems are reliable.

Economic, less electricity usage ",
,"Enhanced Throughput ,Increased expense ,Complicated operating system",
,"Some of the advantages of multiprocessor systems are:
1.More reliable Systems
In a multiprocessor system, even if one processor fails, the system will not halt.
2.High Throughput 
3.Less electricity usage
In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times
4.Economic
Multiprocessor systems are cheaper than single processor systems",
,"*) More reliable system.in a multiprocessor system, even if one processor fails,the system will out not halt.
*) Enhanced throughput
*) Increase expense.
*) Large main memory required",
,"More reliable, less time consuming, more efficient, high throughput",
,"1 High throughput
2 Less electricity usage
3 More reliable systems",
,"There are multiple advantages some of them are:
More reliable systems.
Enhanced throughout.
More economic systems.",
,"Advantages of Multiprocessor Systems:
More reliable Systems. 
In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput.
More Economic Systems
Increased Expense.
Complicated Operating System Required. 
Large Main Memory Required.",
,"1.Complicated operating system required.
2.It requires large main memory.
3.More economic system.
4.In multiprocessor if one processor Fails,the system will not work.

",
,"Multi-processing can be defined as the use of two or more Central Processing Units  within a single computer system. The Advantages are:
1).Increased Throughput: By increasing the number of processors, more work can be completed in less time.
2).Economy of scale: As evidenced by the increased throughput, when production goes up, so do profits.
3).Increased reliability: As the workload is distributed evenly between the different processors it becomes more accurate.",
,"Some of the advantages of multiprocessor systems are:
1.More reliable Systems
In a multiprocessor system, even if one processor fails, the system will not halt.
2.High Throughput 
3.Less electricity usage
In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times",
,"Some of the advantages of multiprocessor systems are:
1.More reliable Systems
In a multiprocessor system, even if one processor fails, the system will not halt.
2.High Throughput 
3.Less electricity usage
In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times
4.Economic
Multiprocessor systems are cheaper than single processor systems",
,"Multi-processing can be defined as the use of two or more Central Processing Units  within a single computer system. These processors then simultaneously process programs, in what is referred to as a “tightly coupled system”. 
1).Increased Throughput: By increasing the number of processors, more work can be completed in less time.
2).Economy of scale: As evidenced by the increased throughput, when production goes up, so do profits.
3).Increased reliability: As the workload is distributed evenly between the different processors it becomes more accurate.",
,"1.Complicated operating system required.
2.It requires large main memory.
3.In multiprocessor if one processor Fails,the system will not work.",
,"Some of the advantages of multiprocessor systems are:
1.More reliable Systems
In a multiprocessor system, even if one processor fails, the system will not halt.
2.Less electricity usage
In a single processor system, there is more load as many processes have to be executed at a time. But in multiprocessor system execution of multiple processes in done in a few times
3.Economic
Multiprocessor systems are cheaper than single processor systems",
,"High Throughput
Type of parallel processing
Less electricity usage
High Reliability
Economic",
,"Multi-processing can be defined as the use of two or more Central Processing Units  within a single computer system. These processors then simultaneously process programs, in what is referred to as a “tightly coupled system”. 
1).Increased Throughput: By increasing the number of processors, more work can be completed in less time.
2).Economy of scale: As evidenced by the increased throughput, when production goes up, so do profits.
3).Increased reliability: As the workload is distributed evenly between the different processors it becomes more accurate.",
,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ",
,"Microprocessor is its speed, which is measured in hertz. For instance, a microprocessor with 3 GHz, shortly GHz is capable of performing 3 billion tasks per second. Microprocessor is that it can quickly move data between the various memory locations",
,"Large main memory required
Enhanced throughput
More economic systems",
,"They are peer to peer systems, each processor contains similar operating system and can communicate with each other. ",
,"More work can be done in a unit time
Saves memory and cost
In this if one process fails it will not effect the other one",
,"Increased Throughput
Reduced cost
Increased reliability",
,"1.Enhanced throughput.
2.More economic systems.
3.increased expense.",
,"Advantages of multiprocessor system is:
1. Increased Throughput
2. More reliable systems
3. More Economic Systems",
,"1.More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
2.Enhanced Throughput.
3.More Economic Systems. 
4.Increased Expense. 
5.Complicated Operating System Required
6.Large Main Memory Required.",
,"Multiprocessor system:-In this system more then one processor are there,it deals with more processor at a Time.advantages are cost savings,more reliable system,increased expenses,in this system even if one processor fails the system will not halt.",
,"Multiprocessors system is a system in which 2 or more systems work together to do the work fast and to do multiple works . 
Advantages :
1:increases the reliability
2:increases the throughput
3:reduces the cost",
,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. Enhanced Throughput. More Economic Systems. Increased Expense.
Complicated Operating System Required. Large Main Memory Required.
",
,It is easier to use as if any one professor face a problem and stops to work.. other processors can compensate it and work. It increases system's execution speed.,
,"Advantages of Multiprocessor Systems
More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
Enhanced Throughput. 
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required.
Large Main Memory Required.",
,"1.that increases processing time
2.more work can be completed at a unit time
3. That saves times
4.that performs task through multiple processes",
,"Advantages of Multiprocessor Systems
More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
Enhanced Throughput. 
More Economic Systems. 
Increased Expense. 
Complicated Operating System Required.
Large Main Memory Required.",
,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput.
More Economic Systems.
Increased Expense.
Complicated Operating System Required.
Large Main Memory Required.",
,"1.that increases processing time
2.more work can be completed at a unit time
3. That saves times",
,"1.cost saving: parallel system shares the memory,buses, peripherals.multiprocessor system saves the money .
2.increased throughput:by increasing the the number of processors more can be completed in a unit time",
,"More reliable systems.
Enhanced throughout. 
More economic systems. ",
,"1.More reliable systems
2. enhance through output
3.more economic system",
,"Increased Throughput − By increasing the number of processors, more work can be completed in a unit time.
Cost Saving − Parallel system shares the memory, buses etc. Multiprocessor system thus saves money as compared to multiple single systems.
Increased Reliability − In this system, as the workload is distributed among several processors which results in increased reliability.",
,"More reliable systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
Enhanced throughout. 
More economic systems. 
Increased expense. 
Complicated operating system required. 
Large main memory required. ",
,"1. More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. ...
2. Enhanced Throughput. ...
3. More Economic Systems. ...
4. Increased Expense. ...
5. Complicated Operating System Required. ...
6. Large Main Memory Required.",
,"*More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt. 
*Enhanced Throughput. 
*More Economic Systems. 
*Increased Expense. 
*Complicated Operating System Required.
*Large Main Memory Required.
",
,"More reliable, large memory,more economic, enhanced throughput etc. ",
,"The advantages of multiprocessor system are:
- >Increased Throughput: Multiprocessor systems have better performance than single processor systems . It has shorter response time and higher throughput.
- >Reduced Cost: Multiprocessor systems can cost less. They can share resources such as memory, peripherals etc.
->Increased reliability: Multiprocessor systems have more than one processor, so if one processor fails, complete system will not stop. 
In these systems, functions are divided among the different processors.",
,"Enhanced  throughout 
More economic system 
Increased expense 
Compicated  operating system requires in multiprocessor 
Large main memory requires  in compare  to single  operating system ",
,"It is the use of two or more central processing units within a single computer system.
It is the ability of a system to support more than one processor and to allocate the tasks to them.
Multiprocessor has two or more processing units sharing the main memory and the peripherals.
Multi processing is sometimes used for execution of multiple concurrent processes in a system.
With each process running a seperate cpu or core.
 ",
,"-> Multiprocessors share same resources instead of using separate power supply from motherboard for each so the cost will be reduced. 
-> In multiprocessor systems if one process fails it does not effect other process. 
-> The increase in number of processor will complete the work in less time.",
,"1.More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
2.Enhanced Throughput.
3.More Economic Systems.
4.Increased Expense. 
5.Complicated Operating System Required.
6.Large Main Memory Required.",
,"1) Execution of multiple processes at same time
2) Economically Good (processors can share peripherals and power supplies etc..)
3) Execution of multiple processes in done in shorter period of time
4) High Reliability
5) High Throughput",
,"More realible
Increase throughput
Increase expense
",
,"Advantages of Multiprocessor Systems
1More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
2Enhanced Throughput. 
3More Economic Systems. 
4Increased Expense. 
5Complicated Operating System Required. 
6Large Main Memory Required",
,"1.Enhanced throughput
2.More economic systems
3.Increased expense
4.large main memory required",
,"Increased throughput - by increasing the number of processors, more work can be completed in a unit time. Multiprocessor system thus saves money as compared to multiple single systems. ",
,Concurrent execution of different programme and reliability ,
,"1.More Reliable Systems
2.Enhanced Throughput 
3.More Economic Systems.",
,"1. More reliable Systems 
2. Enhanced Throughput
3. More Economic Systems. ",
,"More reliable,Enhanced throughput, more economic system, increased expenses, complicated Operating system required,large memory required.
",
,"1.Increased expense
2.More realiable system
3.Enhanced output",
,"1.more reliable system
2.enhanced through put
3.more economic systems",
,"1.more reliable systems
2.enhanced throughput
3.more economic systems",
,"Cost saving, increase in throughput, saves money, increase in reliability.",
,"1.More reliable Systems. In a multiprocessor system, even if one processor fails.
2.The system will not halt.
3.Enhanced Throughput.
4.More Economic Systems. 
5.Increased Expense. 
6.Complicated Operating System Required. 
7.Large Main Memory Required",
,"Increased throughput
Increased reliability
Economy of scale",
,"1.More reliable systems 
2.Enhanced throughput
3.More economic systems ",
,"More reliable systems
Enhanced throughput
More economic systems",
,"1.more reliable systems
2.enhanced throwput.
3.more economic systems",
,"More reliable systems ,enhanced throughput ,more economic systems.",
,"1.more reliable systems
2.enhanced throughput
3.more economic systems",
,"More economic system
Increased expense
Large main memory required
Enhanced output.",
,"1.More reliable systems. 
2.More economic systems. 
3.In a multiprocessor system, even if one processor fails, the system will not halt. 
",
,"1.More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt
2.Enhanced Throughput
3.More Economic Systems
4.Increased Expense
5.Complicated Operating System Required
6.Large Main Memory Required",
,"More reliable Systems. In a multiprocessor system, even if one processor fails, the system will not halt.
Enhanced Throughput.
More Economic Systems. 
Increased Expense.
Complicated Operating System Required.
Large Main Memory Required.",
,"In multiprocessor systems,even if one processor fails system will not halt:more reliable
2.enhanced throughput
3.more economic systems",
Explain the main purpose of an operating system?,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",
,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",
,An operating system is software that manages computer hardware and software. It supplies an interface for the user and important utilities for managing the computer.,
,It provides environment in which we can execute programs and performs our tasks,
,helps to coordinate software and hardware,
,"Manages computer resources
Establish an interface
Execute and provide services for application software ",
,To interact with the hardware system. ,
,provides interaction between user and hardware,
,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. 
Some of them are:
Program Execution
Handling input/output
Manipulation of file system
Error detection and handling",
,Resource allocation and deallocation. ,
,"Memory Management.
Loading and Execution.
Data Security.
Disk Management.
Process Management.",
,"The main purpose of an operating system is to manage system resources which includes managing CPU, peripheral devices and the user interface. ",
,"(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",
,"More reliable Systems

In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.

Enhanced Throughput

If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.

More Economic Systems

Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.",
,"An operating system has three main functions are 
(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers
(2) establish a user interface
(3) execute and provide services for applications software.",
,"manage the computer's resources,establish a user interfaceexecute and provide services for applications software,manage the computer's resources",
,"Memory management,loading and exEcution,data security",
,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software.Few tasks of os are Program Execution,Handling Input/Output Operations,Manipulation of File System,Error Detection and Handling,Resource Allocation,Accounting,Information and Resource Protection",
,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software.Few tasks of os are Program Execution,Handling Input/Output Operations,Manipulation of File System,Error Detection and Handling,Resource Allocation,Accounting,Information and Resource Protection",
,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software.",
,Main purpose is an operating system is it will operate the system.,
,The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,"An operating system is software that manages computer hardware and software. It supplies an interface for the user and important utilities for managing the computer.
An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",
,The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,"An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",
," It manages hard ware and software resources f computer. The resources include processor, memory and disk space etc. It provides a consistent way for application to interact with the hardware without knowing all the details of the hardware.
",
,"Booting, memory management, loading and execution,data security,process management and device controlling",
,Operating system is a software which acts as an interface between a use of the computer and the computer hardware the main purpose of an operating system is to provide an environment in which we can execute programs.,
,Operating system is a program that manages a computer's hardware as well as providing an environment for applications programs to run on the environment,
,The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,to provide an enviroment to run programs,
,acts as an interface between a user of the computer ,
, The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,"Primary purpose and goal of an operating system is manage all resources of hardware and software that are connect with computer. Without operating system all computer system are helpless, because operating system create the interface between user and hardware. When user give any instruction to computer then operating system transform these instructions in to binary form such as 0 and 1.",
,"manage the computer's resources, such as the central processing unit, memory, disk drives, and printers,establish a user interface,execute and provide services for applications software.",
,"An operating system has three main functions: 
(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers
 (2) establish a user interface, 
(3) execute and provide services for applications software.",
,The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,Functioning by,
,It takes responsibility to handle hardware and application programs,
,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software.

Program Execution: The Operating System is responsible for execution of all types of programs whether it be user programs or system programs. The Operating System utilises various resources available for the efficient running of all types of functionalities.
Handling Input/Output Operations: The Operating System is responsible for handling all sort of inputs, i.e, from keyboard, mouse, desktop, etc. The Operating System does all interfacing in the most appropriate manner regrading all kind of Inputs and Outputs.
For example, there is difference in nature of all types of peripheral devices such as mouse or keyboard, then Operating System is responsible for handling data between them.
Manipulation of File System: The Operating System is responsible for making of decisions regarding the storage of all types of data or files, i.e, floppy disk/hard disk/pen drive, etc. The Operating System decides as how the data should be manipulated and stored.
Error Detection and Handling: The Operating System is responsible for detection of any types of error or bugs that can occur while any task. The well secured OS sometimes also acts as countermeasure for preventing any sort of breach to the Computer System from any external source and probably handling them.
Resource Allocation: The Operating System ensures the proper use of all the resources available by deciding which resource to be used by whom for how much time. All the decisions are taken by the Operating System.
Accounting: The Operating System tracks an account of all the functionalities taking place in the computer system at a time. All the details such as the types of errors occurred are recorded by the Operating System.",
,"An operating system has three main functions:
 (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, 
(2) establish a user interface, and 
(3) execute and provide services for applications software.",
,Operating system is system software which acts as an interface between user of the computer and computer hardware,
,"->Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware.
-> The main purpose of an Operating System is to provide an environment in which we can execute programs.",
,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.
",
,"An operating system has three main functions:
 (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers,
 (2) establish a user interface, 
 (3) execute and provide services for applications software",
,"Operating system was needed to enable the user to design the application without the knowledge of the computer’s internal structure and hardware system.  Nowadays, user needs an interface to interact with the computer and controls the execution of all kinds of programs without knowing the intemals-of the hardware.  Usage of Operating system:
 1. Easy interaction between the human and computer.
  2. Starting computer operation automatically when power is turned on.
  3. Loading and scheduling users program. 
 4. Controlling input and output devices. 
 5. Managing use of main memory. 
 6. Providing security to users program.",
,The process of an operating system is to provide a platform on which a user can conveniently execute programs in efficient manner.,
,"An operating system has three main functions: 
(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, 
(2) establish a user interface, 
 (3) execute and provide services for applications software",
,The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,"An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",
,"Operating system is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of am operating system is to provide an environment in which we can execute programs. ",
,The main purpose of an operating system is to provide an environment in which we can execute programs ,
,"Multiprocessor
Multiprogramming 
Real time system",
,Operating system is a software sytem which acts as an interface  between user  and computer  hardware the main purpose of an operating system is to provide an environment in which we can execute programs ,
,"The main purpose of an Operating System is to provide an environment in which we can execute programs.
The 3 main purposes are:-
1.Handle Memory Management
2.Perform all Loading and Execution task
3.Peripheral Controlling",
,Used to execute programs,
,"The operating system has three main functions:
1.manage computer resources such as cpu,memory,disk driver,printer.
2.establish a user interface
3.execute and provide services for application software.
This many necessary tasks are performed behind the scenes.",
,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software.

Program Execution: The Operating System is responsible for execution of all types of programs whether it be user programs or system programs. The Operating System utilises various resources available for the efficient running of all types of functionalities.
Handling Input/Output Operations: The Operating System is responsible for handling all sort of inputs, i.e, from keyboard, mouse, desktop, etc. The Operating System does all interfacing in the most appropriate manner regrading all kind of Inputs and Outputs.
For example, there is difference in nature of all types of peripheral devices such as mouse or keyboard, then Operating System is responsible for handling data between them.
Manipulation of File System: The Operating System is responsible for making of decisions regarding the storage of all types of data or files, i.e, floppy disk/hard disk/pen drive, etc. The Operating System decides as how the data should be manipulated and stored.
Error Detection and Handling: The Operating System is responsible for detection of any types of error or bugs that can occur while any task. The well secured OS sometimes also acts as countermeasure for preventing any sort of breach to the Computer System from any external source and probably handling them.
Resource Allocation: The Operating System ensures the proper use of all the resources available by deciding which resource to be used by whom for how much time. All the decisions are taken by the Operating System.
Accounting: The Operating System tracks an account of all the functionalities taking place in the computer system at a time. All the details such as the types of errors occurred are recorded by the Operating System.
Information and Resource Protection: The Operating System is responsible for using all the information and resources available on the machine in the most protected way. The Operating System must foil an attempt from any external resource to hamper any sort of data or information.",
,"manage the computer's resources, such as the central processing unit, memory, disk drives, and printers.establish a user interface, andexecute and provide services for applications software.",
,"Interface ,to run the process (system calls), Memory management, process management , resource management and sharing, file handling and management",
,Main purpose of os is to provide an environment in which we can execute programs ,
,The main purpose of an Operating System (OS) is to provide an environment in which we can execute programs.,
,"Os is a system software ,which acts as an interface between a user of the computer and the computer hardware. ",
,"An operating system has three main functions: 
1. manage the computer's resources, such as the central processing unit, memory, disk drives, and printers.
2.establish a user interface
3. execute and provide services for applications software",
,"An operating system has three main functions: 
(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, 
(2) establish a user interface, and
 (3) execute and provide services for applications software.",
,The main purpose of Operating system is to make the computer system conveient to use. To make the use of computer hardware in efficient way. ,
,The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,"1.Loading and scheduling users program.  
2.Controlling input and output devices.  3.Managing memory",
," The main purpose of an Operating System is to provide an environment in which we can execute programs. It manage the computer's resources, such as the central processing unit, memory, disk drives, and printers.",
,The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,"It is responsible for the execution of all the processor,cpu management and file management and different task.",
,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. ",
,"An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",
,Make Communication between user and hardware components of computer,
,Operating systems exist for two main purposes.One is that it is designed to make sure a computer system performs well by managing its computational activities.Another is that it provides an environment for the development and execution of programs.,
,Operating system is to provide an environment in which we can execute programs,
,Providing an environment which we can Execute   the programs,
, The  purpose of operating system is to provide an environment in which we can execute more programs,
,Main purpose of an computer system is to provide an environment in which we can execute programs,
,Nak ithe telvad nek telusthe chepu,
,"(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",
,"Operating System (OS) is system software, which acts as an interface between a 
user of the computer and the computer hardware. The main purpose of an 
Operating System is to provide an environment in which we can execute 
programs.",
,"Operating System  is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",
,To provide a platform on which a user can execute programs in a convenient and efficient manner,
,The main purpose of an Operating System is to provide an environment in which we can execute programs,
,"Provide environment to run other applications, Memory Management,
Loading and Execution,
Data Security,
Disk Management,
Process Management.",
,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.
",
,Which is a interface between user and computer,
,Interface between a user and computer hardware ,
,That manages computer hardware.,
,"OS is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",
,The main purpose of an operating system is to execute program and manage hardware and software devices. It makes us to feel comfortable while using.,
,The purpose of os is to provide a platform on which user can execute programs in convient and efficient manner.,
,"OS  is to provide an environment in which we can execute programs
It works like as bridge in between hardware and software",
,To provide an environment in which we can execute programs.,
,To provide an environment to execute the programs,
,Main purpose of an os is to act as an interface between user of the computer and the computer hardware.mraning providing and environment in which we can execute programs,
,"Provides an environment in which we can execute programs.
Memory management
Data security
Device controlling",
,The purpose of an operating system is to provide a platform on which a user can execute programs in a convenient and efficient manner. An operating system is a piece of software that manages the allocation of computer hardware,
," OS is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",
,The purpose of an operating system is to provide a platform on which a user can execute programs in a convenient and efficient manner. An operating system is a piece of software that manages the allocation of computer hardware,
,The main purpose of an Operating System is to provide an environment in which we can execute programs.,
,The main purpose of operating system is to provide an environment in which we can execute programs,
,The purpose of an operating system is to provide a platform on which a user can execute programs in a convenient and efficient manner. An operating system is a piece of software that manages the allocation of computer hardware.,
,To provide an environment in which we can execute programs,
,"manage computer resources,establish a user interface,execute and provide service  of application software",
,It is to provide an environment in which me can execute programs,
,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",
,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.
1.Booting. 
2.Memory Management.
3.Loading and Execution.
4.Data Security.
5.Disk Management.
6.Process Management.
7.Device Controlling.
8.Printing Controlling.",
,"OS manages hardware and software resources of computer and they may include processor, memory and disk space etc. 
It also provides a consistent way for application to interact with the hardware without knowing all the details of the hardware. ",
,"It controls the hardware, software functionalities, resource allocation to the processes and maintains all other activities regarding software.",
,The purpose of an operating system is to provide a platform on which a user can execute programs in a convenient and efficient manner. An operating system is a piece of software that manages the allocation of computer hardware. ,
,->operating system acts as an interface between user and hardware where user can execute programs.,
,The main purpose of an Operating System is to provide an environment in which user can execute programs.,
,The main purpose of an operating system is to provide an environment in which we can execute programs,
,The purpose of an operating system is to provide a platform on which a user can execute programs in a convenient and efficient manner. An operating system is a piece of software that manages the allocation of computer hardware .,
,To provide an environment in which we can execute programs,
